topic_id,source,n_total,n_with_estimate,mean_effect,sd_effect,cv
T03,ai,30,1,,,
T05,ai,30,27,4.621481481481482,18.062696302623202,3.9084212227185957
T10,ai,30,3,63.626666666666665,54.34020733612758,0.8540476844529691
T12,ai,30,12,0.7633333333333333,0.03892494720807614,0.05099338062193381
T01,human,10,3,17.033333333333335,28.550603029241493,1.6761606475092852
T02,human,10,3,0.9066666666666666,0.2709858544893687,0.29888145715739195
T03,human,10,1,,,
T04,human,10,4,5.899249999999999,8.413295167966789,1.4261635238321464
T05,human,10,4,9.34,17.11235615960974,1.832158047067424
T06,human,10,2,,,
T07,human,10,4,1.4775,0.7278449926552586,0.49261928436904134
T08,human,10,3,1.53,1.6623176591734807,1.0864821301787455
T09,human,10,1,,,
T10,human,10,4,2.5375,1.6902736464844974,0.666117693195861
T11,human,10,1,,,
T12,human,10,3,32.583333333333336,53.203434412952454,1.632841976868106
