topic_id,source,n,mean_v_score,max_v_score,pct_valid_all_8,pct_pass_v1,pct_pass_v2,pct_pass_v3,pct_pass_v4,pct_pass_v5,pct_pass_v6,pct_pass_v7,pct_pass_v8
T01,ai,30,8.0,8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T01,human,10,4.7,8,40.0,60.0,60.0,60.0,40.0,70.0,60.0,60.0,60.0
T02,ai,30,8.0,8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T02,human,10,4.7,8,20.0,70.0,60.0,50.0,30.0,70.0,60.0,70.0,60.0
T03,ai,30,8.0,8,96.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T03,human,10,3.3,8,0.0,70.0,50.0,40.0,10.0,40.0,30.0,50.0,40.0
T04,ai,30,7.833333333333333,8,83.33333333333334,100.0,100.0,96.66666666666667,100.0,100.0,86.66666666666667,100.0,100.0
T04,human,10,5.0,8,30.0,70.0,70.0,70.0,60.0,70.0,50.0,60.0,50.0
T05,ai,30,7.9655172413793105,8,93.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,96.55172413793103,100.0
T05,human,10,6.0,8,20.0,100.0,100.0,60.0,30.0,80.0,50.0,90.0,90.0
T06,ai,30,7.133333333333334,8,20.0,100.0,100.0,100.0,100.0,100.0,20.0,93.33333333333333,100.0
T06,human,10,4.4,8,10.0,60.0,50.0,60.0,20.0,80.0,60.0,70.0,40.0
T07,ai,30,8.0,8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T07,human,10,5.1,8,10.0,70.0,80.0,60.0,40.0,80.0,60.0,70.0,50.0
T08,ai,30,8.0,8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T08,human,10,2.8,8,20.0,50.0,40.0,30.0,20.0,40.0,30.0,40.0,30.0
T09,ai,30,7.566666666666666,8,56.666666666666664,100.0,100.0,100.0,100.0,100.0,56.666666666666664,100.0,100.0
T09,human,10,3.7,8,20.0,60.0,50.0,40.0,40.0,50.0,30.0,50.0,50.0
T10,ai,30,7.933333333333334,8,93.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,93.33333333333333,100.0
T10,human,10,5.9,8,20.0,80.0,80.0,80.0,50.0,80.0,60.0,80.0,80.0
T11,ai,30,7.966666666666667,8,96.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,96.66666666666667,100.0
T11,human,10,4.3,8,20.0,40.0,50.0,50.0,30.0,80.0,60.0,80.0,40.0
T12,ai,30,7.966666666666667,8,96.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,96.66666666666667,100.0
T12,human,10,5.4,8,40.0,60.0,80.0,70.0,70.0,70.0,70.0,70.0,50.0
